Fiscal_Year,Accounting_Period,SortOrder,MakeBold,LevelNum,nodedesc,HSortOrder,NdId,NdDesc,BaseAmount,ShowBox,Show_Vertical_Line,Show_Top_Line,Show_Bottom_Line,ND_Header,ND_SortOrder
2015,7,34,Y,5,280001 - Net Intersegment Funding - Items in Transit (IIT) (L2),3,23291,ICG O&T [L6],4055629825,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,35,Y,1,200001 - Liabilities (L1),3,23291,ICG O&T [L6],4468266004,N,Y,N,N,Institutional Clients Group [L4],1
,,36,N,1,,3,23291,ICG O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,37,N,10,311001 - Preferred Stock (L3),3,23291,ICG O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,38,N,10,320000 - Common Stock (L3),3,23291,ICG O&T [L6],230450,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,39,N,10,331001 - Additional Paid-In Capital (APIC) (L3),3,23291,ICG O&T [L6],93359069,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,40,N,10,340000 - Retained Earnings (L3),3,23291,ICG O&T [L6],-6268943110,N,Y,N,N,Institutional Clients Group [L4],1
,,41,N,10,350000 - Treasury Stock (L3),3,23291,ICG O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,42,N,10,360001 - Accumulated Other Comprehensive Income/Loss (L3),3,23291,ICG O&T [L6],8366826,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,43,Y,5,310001 - group's Stockholders Equity (L2),3,23291,ICG O&T [L6],-6166986765,N,Y,N,N,Institutional Clients Group [L4],1
,,44,Y,5,380001 - Non-Controlling Interest (L2),3,23291,ICG O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,45,Y,1,300001 - Total Equity (L1),3,23291,ICG O&T [L6],-6166986765,N,Y,N,N,Institutional Clients Group [L4],1
,,46,N,1,,3,23291,ICG O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,47,Y,5,370001 - Management Capital (L1),3,23291,ICG O&T [L6],6345171789,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,48,Y,1,200000 - Total Liabilities & Equity,3,23291,ICG O&T [L6],4646451028,N,Y,N,N,Institutional Clients Group [L4],1
,,49,N,1,,3,23291,ICG O&T [L6],0,Y,N,N,N,Institutional Clients Group [L4],1
,,50.1,N,5,Average Loans,3,23291,ICG O&T [L6],,N,Y,Y,N,Institutional Clients Group [L4],1
,,50.2,N,5,Average Deposits,3,23291,ICG O&T [L6],,N,Y,N,Y,Institutional Clients Group [L4],1
,,51,N,10,940184 - Total 90+ Days Past Due (90+ DPD) (L2),3,23291,ICG O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,52,N,10,940200 - Total 30-89 Days Past Due (30-89 DPD) (L2),3,23291,ICG O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,53,Y,5,940210 - Total Past Due Loans (L1),3,23291,ICG O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
,,54,Y,5,720000 - Servicing Assets Securitized (L1),3,23291,ICG O&T [L6],0,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,55,Y,5,739000 - Commitments and Contingencies Accounts,3,23291,ICG O&T [L6],3926524,N,Y,N,N,Institutional Clients Group [L4],1
,,56,Y,5,760000 - Assets Under Management (L1),3,23291,ICG O&T [L6],0,N,Y,N,Y,Institutional Clients Group [L4],1
,,0,N,1,,4,23078,ICG & CCB O&T [L5],0,N,Y,N,N,Institutional Clients Group [L4],1
,,1,Y,1,100002 - Indirect Assets (L1),4,23078,ICG & CCB O&T [L5],0,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,2,Y,5,110001 - Cash and Due from Banks (L2),4,23078,ICG & CCB O&T [L5],-719095,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,3,Y,5,115001 - Deposits with Banks (L2),4,23078,ICG & CCB O&T [L5],163573201,N,Y,N,N,Institutional Clients Group [L4],1
,,4,Y,5,120001 - Federal Funds Sold and Resales (L2),4,23078,ICG & CCB O&T [L5],0,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,5,Y,5,125001 - Brokerage Receivables (L2),4,23078,ICG & CCB O&T [L5],-1135510,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,6,Y,5,130001 - Trading Account Assets (L2),4,23078,ICG & CCB O&T [L5],12370,N,Y,N,N,Institutional Clients Group [L4],1
,,7,N,10,135000 - Investments - Available-for-Sale (AFS) (L3),4,23078,ICG & CCB O&T [L5],0,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,8,N,10,135010 - Investments - Non-Marketable Securities (L3),4,23078,ICG & CCB O&T [L5],110880,N,Y,N,N,Institutional Clients Group [L4],1
,,9,N,10,135020 - Investments - Held-to-Maturity (HTM) (L3),4,23078,ICG & CCB O&T [L5],0,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,10,Y,5,135001 - Investments (L2),4,23078,ICG & CCB O&T [L5],110880,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,11,N,10,140000 - Consumer Loans & Leases Net of Unearned (L3),4,23078,ICG & CCB O&T [L5],0,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,12,N,10,141000 - Commercial Loans & Leases Net of Unearned (L3),4,23078,ICG & CCB O&T [L5],-132481,N,Y,N,N,Institutional Clients Group [L4],1
,,13,N,10,142000 - Cross Regional Loans - Interest Earning (L3),4,23078,ICG & CCB O&T [L5],0,N,Y,N,N,Institutional Clients Group [L4],1
,,14,N,10,160020 - Cross Regional Loans - Non-Interest Earning (L3),4,23078,ICG & CCB O&T [L5],0,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,15,Y,5,140001 - Total Loans & Leases Net of Unearned (L2),4,23078,ICG & CCB O&T [L5],-132481,N,Y,N,N,Institutional Clients Group [L4],1
,,16,Y,5,145001 - Allowance for Loan Losses (L2),4,23078,ICG & CCB O&T [L5],0,N,Y,N,N,Institutional Clients Group [L4],1
,,17,Y,5,150001 - Goodwill (L2),4,23078,ICG & CCB O&T [L5],0,N,Y,N,N,Institutional Clients Group [L4],1
,,18,Y,5,155001 - Intangible Assets (L2),4,23078,ICG & CCB O&T [L5],0,N,Y,N,N,Institutional Clients Group [L4],1
,,19,Y,5,156001 - Mortgage Servicing Rights (L2),4,23078,ICG & CCB O&T [L5],0,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,20,N,10,160040 - Property Plant and Equipment Net (L3),4,23078,ICG & CCB O&T [L5],763387746,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,21,N,10,160030 - Interest & Fees Receivable from Loans (L3),4,23078,ICG & CCB O&T [L5],955246,N,Y,N,N,Institutional Clients Group [L4],1
2015,7,22,N,10,160010 - Other Assets (L3),4,23078,ICG & CCB O&T [L5],3720398671,N,Y,N,N,Institutional Clients Group [L4],1
